Comunidades autónomas;Sectores de actividad;Sexo;Periodo;Total
Aragón;Servicios;Mujeres;2013;18.596,95
Aragón;Servicios;Mujeres;2012;17.960,68
Aragón;Servicios;Mujeres;2011;18.749,9
Aragón;Servicios;Mujeres;2010;18.748,22
Aragón;Servicios;Mujeres;2009;18.885,84
Aragón;Servicios;Mujeres;2008;17.802,59
Aragón;Servicios;Hombres;2022;28.430,45
Aragón;Servicios;Hombres;2021;26.509,6
Aragón;Servicios;Hombres;2020;25.384,68
Aragón;Servicios;Hombres;2019;25.225,31
Aragón;Servicios;Hombres;2018;25.990,8
Aragón;Servicios;Hombres;2017;24.824,41
Aragón;Servicios;Hombres;2016;24.299,13
Aragón;Servicios;Hombres;2015;24.883,82
Aragón;Servicios;Hombres;2014;23.985,27
Aragón;Servicios;Hombres;2013;24.289,29
Aragón;Servicios;Hombres;2012;25.111,74
Aragón;Servicios;Hombres;2011;24.510,28
Aragón;Servicios;Hombres;2010;24.857,16
Aragón;Servicios;Hombres;2009;25.139,94
Aragón;Servicios;Hombres;2008;24.507,44
Asturias, Principado de;Todos los sectores;Ambos sexos;2022;26.745,93
Asturias, Principado de;Todos los sectores;Ambos sexos;2021;25.046,6
Asturias, Principado de;Todos los sectores;Ambos sexos;2020;24.527,96
Asturias, Principado de;Todos los sectores;Ambos sexos;2019;24.865,89
Asturias, Principado de;Todos los sectores;Ambos sexos;2018;23.914,61
Asturias, Principado de;Todos los sectores;Ambos sexos;2017;23.609,67
Asturias, Principado de;Todos los sectores;Ambos sexos;2016;23.095,83
Asturias, Principado de;Todos los sectores;Ambos sexos;2015;22.826,06
Asturias, Principado de;Todos los sectores;Ambos sexos;2014;22.045,29
Asturias, Principado de;Todos los sectores;Ambos sexos;2013;21.994,99
Asturias, Principado de;Todos los sectores;Ambos sexos;2012;21.750,66
Asturias, Principado de;Todos los sectores;Ambos sexos;2011;22.286,48
Asturias, Principado de;Todos los sectores;Ambos sexos;2010;22.241,39
Asturias, Principado de;Todos los sectores;Ambos sexos;2009;22.597,97
Asturias, Principado de;Todos los sectores;Ambos sexos;2008;21.805,67
Asturias, Principado de;Todos los sectores;Mujeres;2022;23.792,42
Asturias, Principado de;Todos los sectores;Mujeres;2021;21.808,96
Asturias, Principado de;Todos los sectores;Mujeres;2020;21.308,01
Asturias, Principado de;Todos los sectores;Mujeres;2019;21.298,58
Asturias, Principado de;Todos los sectores;Mujeres;2018;19.744,94
Asturias, Principado de;Todos los sectores;Mujeres;2017;19.426,48
Asturias, Principado de;Todos los sectores;Mujeres;2016;19.077,92
Asturias, Principado de;Todos los sectores;Mujeres;2015;18.925,34
Asturias, Principado de;Todos los sectores;Mujeres;2014;18.400,68
Asturias, Principado de;Todos los sectores;Mujeres;2013;18.455,34
Asturias, Principado de;Todos los sectores;Mujeres;2012;18.026,01
Asturias, Principado de;Todos los sectores;Mujeres;2011;18.721,59
Asturias, Principado de;Todos los sectores;Mujeres;2010;18.786,13
Asturias, Principado de;Todos los sectores;Mujeres;2009;19.289,76
Asturias, Principado de;Todos los sectores;Mujeres;2008;18.452,09
Asturias, Principado de;Todos los sectores;Hombres;2022;29.573,74
Asturias, Principado de;Todos los sectores;Hombres;2021;28.399,51
Asturias, Principado de;Todos los sectores;Hombres;2020;27.948,09
Asturias, Principado de;Todos los sectores;Hombres;2019;28.481,75
Asturias, Principado de;Todos los sectores;Hombres;2018;27.912,91
Asturias, Principado de;Todos los sectores;Hombres;2017;27.849
Asturias, Principado de;Todos los sectores;Hombres;2016;27.010,87
Asturias, Principado de;Todos los sectores;Hombres;2015;26.514,68
Asturias, Principado de;Todos los sectores;Hombres;2014;25.322,01
Asturias, Principado de;Todos los sectores;Hombres;2013;25.500,04
Asturias, Principado de;Todos los sectores;Hombres;2012;25.048,82
Asturias, Principado de;Todos los sectores;Hombres;2011;25.346,39
Asturias, Principado de;Todos los sectores;Hombres;2010;25.170,79
Asturias, Principado de;Todos los sectores;Hombres;2009;25.175,71
Asturias, Principado de;Todos los sectores;Hombres;2008;24.306,27
Asturias, Principado de;Industria;Ambos sexos;2022;34.101,62
Asturias, Principado de;Industria;Ambos sexos;2021;32.084,09
Asturias, Principado de;Industria;Ambos sexos;2020;30.972,5
Asturias, Principado de;Industria;Ambos sexos;2019;30.716,6
Asturias, Principado de;Industria;Ambos sexos;2018;30.307,14
Asturias, Principado de;Industria;Ambos sexos;2017;29.792,89
Asturias, Principado de;Industria;Ambos sexos;2016;29.305,16
Asturias, Principado de;Industria;Ambos sexos;2015;29.438,14
Asturias, Principado de;Industria;Ambos sexos;2014;28.109,37
Asturias, Principado de;Industria;Ambos sexos;2013;27.307,36
Asturias, Principado de;Industria;Ambos sexos;2012;26.508,83
Asturias, Principado de;Industria;Ambos sexos;2011;26.510,89
Asturias, Principado de;Industria;Ambos sexos;2010;26.285,83
Asturias, Principado de;Industria;Ambos sexos;2009;25.641,62
Asturias, Principado de;Industria;Ambos sexos;2008;25.780,79
Asturias, Principado de;Industria;Mujeres;2022;-31.391,83
Asturias, Principado de;Industria;Mujeres;2021;-29.166,94
Asturias, Principado de;Industria;Mujeres;2020;-26.830,34
Asturias, Principado de;Industria;Mujeres;2019;-26.626,03
Asturias, Principado de;Industria;Mujeres;2018;-24.113,96
Asturias, Principado de;Industria;Mujeres;2017;-23.004,09
Asturias, Principado de;Industria;Mujeres;2016;-24.085,35
Asturias, Principado de;Industria;Mujeres;2015;-23.125,08
Asturias, Principado de;Industria;Mujeres;2014;-22.178,19
Asturias, Principado de;Industria;Mujeres;2013;-24.103,3
Asturias, Principado de;Industria;Mujeres;2012;-21.244,16
Asturias, Principado de;Industria;Mujeres;2011;-21.212,49
Asturias, Principado de;Industria;Mujeres;2010;-20.277,33
Asturias, Principado de;Industria;Mujeres;2009;-21.004,49
Asturias, Principado de;Industria;Mujeres;2008;-20.084,38
Asturias, Principado de;Industria;Hombres;2022;34.687,82
Asturias, Principado de;Industria;Hombres;2021;32.690,54
Asturias, Principado de;Industria;Hombres;2020;31.868,07
Asturias, Principado de;Industria;Hombres;2019;31.601,51
Asturias, Principado de;Industria;Hombres;2018;31.634,99
Asturias, Principado de;Industria;Hombres;2017;31.373,75
Asturias, Principado de;Industria;Hombres;2016;30.386,77
Asturias, Principado de;Industria;Hombres;2015;30.525,33
Asturias, Principado de;Industria;Hombres;2014;29.228,6
Asturias, Principado de;Industria;Hombres;2013;27.864,18
Asturias, Principado de;Industria;Hombres;2012;27.482,5
Asturias, Principado de;Industria;Hombres;2011;27.554,06
Asturias, Principado de;Industria;Hombres;2010;27.596,35
Asturias, Principado de;Industria;Hombres;2009;26.423,81
Asturias, Principado de;Industria;Hombres;2008;26.737,39
Asturias, Principado de;Construcción;Ambos sexos;2022;-25.260,52
Asturias, Principado de;Construcción;Ambos sexos;2021;26.171,1
Asturias, Principado de;Construcción;Ambos sexos;2020;25.655,52
Asturias, Principado de;Construcción;Ambos sexos;2019;26.388,29
Asturias, Principado de;Construcción;Ambos sexos;2018;25.797,17
Asturias, Principado de;Construcción;Ambos sexos;2017;24.219,42
Asturias, Principado de;Construcción;Ambos sexos;2016;24.089,02
Asturias, Principado de;Construcción;Ambos sexos;2015;24.962,06
Asturias, Principado de;Construcción;Ambos sexos;2014;25.040,63
Asturias, Principado de;Construcción;Ambos sexos;2013;24.072,73
Asturias, Principado de;Construcción;Ambos sexos;2012;24.385,31
Asturias, Principado de;Construcción;Ambos sexos;2011;24.049,35
Asturias, Principado de;Construcción;Ambos sexos;2010;24.585,58
Asturias, Principado de;Construcción;Ambos sexos;2009;23.979,28
Asturias, Principado de;Construcción;Ambos sexos;2008;22.194,82
Asturias, Principado de;Construcción;Mujeres;2022;..
Asturias, Principado de;Construcción;Mujeres;2021;..
Asturias, Principado de;Construcción;Mujeres;2020;..
Asturias, Principado de;Construcción;Mujeres;2019;..
Asturias, Principado de;Construcción;Mujeres;2018;..
Asturias, Principado de;Construcción;Mujeres;2017;..
Asturias, Principado de;Construcción;Mujeres;2016;..
Asturias, Principado de;Construcción;Mujeres;2015;..
Asturias, Principado de;Construcción;Mujeres;2014;..
Asturias, Principado de;Construcción;Mujeres;2013;..
Asturias, Principado de;Construcción;Mujeres;2012;..
Asturias, Principado de;Construcción;Mujeres;2011;..
Asturias, Principado de;Construcción;Mujeres;2010;..
Asturias, Principado de;Construcción;Mujeres;2009;..
Asturias, Principado de;Construcción;Mujeres;2008;..
Asturias, Principado de;Construcción;Hombres;2022;-25.596,39
Asturias, Principado de;Construcción;Hombres;2021;26.272,33
Asturias, Principado de;Construcción;Hombres;2020;25.629,69
Asturias, Principado de;Construcción;Hombres;2019;26.305,45
Asturias, Principado de;Construcción;Hombres;2018;26.199
Asturias, Principado de;Construcción;Hombres;2017;24.189,87
Asturias, Principado de;Construcción;Hombres;2016;24.026,52
Asturias, Principado de;Construcción;Hombres;2015;25.101,87
Asturias, Principado de;Construcción;Hombres;2014;25.060,85
Asturias, Principado de;Construcción;Hombres;2013;24.515,12
Asturias, Principado de;Construcción;Hombres;2012;24.472,31
Asturias, Principado de;Construcción;Hombres;2011;24.218,07
Asturias, Principado de;Construcción;Hombres;2010;24.587,2
Asturias, Principado de;Construcción;Hombres;2009;24.076,1
Asturias, Principado de;Construcción;Hombres;2008;22.196,76
Asturias, Principado de;Servicios;Ambos sexos;2022;25.287,68
Asturias, Principado de;Servicios;Ambos sexos;2021;23.393,8
Asturias, Principado de;Servicios;Ambos sexos;2020;23.024,27
Asturias, Principado de;Servicios;Ambos sexos;2019;23.424,67
Asturias, Principado de;Servicios;Ambos sexos;2018;22.295,95
Asturias, Principado de;Servicios;Ambos sexos;2017;22.095,75
Asturias, Principado de;Servicios;Ambos sexos;2016;21.477,57
Asturias, Principado de;Servicios;Ambos sexos;2015;20.971,99
Asturias, Principado de;Servicios;Ambos sexos;2014;20.270,97
Asturias, Principado de;Servicios;Ambos sexos;2013;20.383,67
Asturias, Principado de;Servicios;Ambos sexos;2012;20.142,33
Asturias, Principado de;Servicios;Ambos sexos;2011;20.887,6
Asturias, Principado de;Servicios;Ambos sexos;2010;20.759,05
Asturias, Principado de;Servicios;Ambos sexos;2009;21.491,64
Asturias, Principado de;Servicios;Ambos sexos;2008;20.535,54
Asturias, Principado de;Servicios;Mujeres;2022;23.323,18
Asturias, Principado de;Servicios;Mujeres;2021;21.322,04
Asturias, Principado de;Servicios;Mujeres;2020;20.911,14
Asturias, Principado de;Servicios;Mujeres;2019;20.878,08
Asturias, Principado de;Servicios;Mujeres;2018;19.399,15
Asturias, Principado de;Servicios;Mujeres;2017;19.083,13
Asturias, Principado de;Servicios;Mujeres;2016;18.632,61
Asturias, Principado de;Servicios;Mujeres;2015;18.597,71
Asturias, Principado de;Servicios;Mujeres;2014;18.063,32
Asturias, Principado de;Servicios;Mujeres;2013;18.051,37
Asturias, Principado de;Servicios;Mujeres;2012;17.682,31
Asturias, Principado de;Servicios;Mujeres;2011;18.423,89
Asturias, Principado de;Servicios;Mujeres;2010;18.521,58
Asturias, Principado de;Servicios;Mujeres;2009;19.047,16
Asturias, Principado de;Servicios;Mujeres;2008;18.190,25
Asturias, Principado de;Servicios;Hombres;2022;28.129,42
Asturias, Principado de;Servicios;Hombres;2021;26.765,58
Asturias, Principado de;Servicios;Hombres;2020;26.538,99
Asturias, Principado de;Servicios;Hombres;2019;27.448,17
Asturias, Principado de;Servicios;Hombres;2018;26.496,41
Asturias, Principado de;Servicios;Hombres;2017;26.756,07
Asturias, Principado de;Servicios;Hombres;2016;25.770,95
Asturias, Principado de;Servicios;Hombres;2015;24.561,76
Asturias, Principado de;Servicios;Hombres;2014;23.359,49
Asturias, Principado de;Servicios;Hombres;2013;24.181,68
Asturias, Principado de;Servicios;Hombres;2012;23.727,69
Asturias, Principado de;Servicios;Hombres;2011;24.378,3
Asturias, Principado de;Servicios;Hombres;2010;23.969,27
Asturias, Principado de;Servicios;Hombres;2009;24.786,09
Asturias, Principado de;Servicios;Hombres;2008;23.634,28
Balears, Illes;Todos los sectores;Ambos sexos;2022;27.145,79
Balears, Illes;Todos los sectores;Ambos sexos;2021;24.134,73
Balears, Illes;Todos los sectores;Ambos sexos;2020;23.881,42
Balears, Illes;Todos los sectores;Ambos sexos;2019;23.325,33
Balears, Illes;Todos los sectores;Ambos sexos;2018;22.800,87
Balears, Illes;Todos los sectores;Ambos sexos;2017;22.036,46
Balears, Illes;Todos los sectores;Ambos sexos;2016;21.478,34
Balears, Illes;Todos los sectores;Ambos sexos;2015;21.395,42
Balears, Illes;Todos los sectores;Ambos sexos;2014;21.322,08
Balears, Illes;Todos los sectores;Ambos sexos;2013;20.776,29
Balears, Illes;Todos los sectores;Ambos sexos;2012;20.960,53
Balears, Illes;Todos los sectores;Ambos sexos;2011;21.351
Balears, Illes;Todos los sectores;Ambos sexos;2010;21.613,6
Balears, Illes;Todos los sectores;Ambos sexos;2009;21.070,14
Balears, Illes;Todos los sectores;Ambos sexos;2008;20.388,09
Balears, Illes;Todos los sectores;Mujeres;2022;26.054,2
Balears, Illes;Todos los sectores;Mujeres;2021;22.344,76
Balears, Illes;Todos los sectores;Mujeres;2020;21.998,23
Balears, Illes;Todos los sectores;Mujeres;2019;21.631,07
Balears, Illes;Todos los sectores;Mujeres;2018;21.085,74
Balears, Illes;Todos los sectores;Mujeres;2017;20.465,58
Balears, Illes;Todos los sectores;Mujeres;2016;19.702,6
Balears, Illes;Todos los sectores;Mujeres;2015;19.517,28
Balears, Illes;Todos los sectores;Mujeres;2014;19.008,38
Balears, Illes;Todos los sectores;Mujeres;2013;18.998,37
Balears, Illes;Todos los sectores;Mujeres;2012;19.022,24
Balears, Illes;Todos los sectores;Mujeres;2011;19.377,39
Balears, Illes;Todos los sectores;Mujeres;2010;19.812,19
Balears, Illes;Todos los sectores;Mujeres;2009;18.702,72
Balears, Illes;Todos los sectores;Mujeres;2008;18.159,78
Balears, Illes;Todos los sectores;Hombres;2022;28.155,99
Balears, Illes;Todos los sectores;Hombres;2021;25.898,51
Balears, Illes;Todos los sectores;Hombres;2020;25.699,53
Balears, Illes;Todos los sectores;Hombres;2019;24.914,51
Balears, Illes;Todos los sectores;Hombres;2018;24.437,58
Balears, Illes;Todos los sectores;Hombres;2017;23.538,43
Balears, Illes;Todos los sectores;Hombres;2016;23.286,85
Balears, Illes;Todos los sectores;Hombres;2015;23.411,35
Balears, Illes;Todos los sectores;Hombres;2014;23.770,56
Balears, Illes;Todos los sectores;Hombres;2013;22.584,78
Balears, Illes;Todos los sectores;Hombres;2012;22.859,04
Balears, Illes;Todos los sectores;Hombres;2011;23.188,8
Balears, Illes;Todos los sectores;Hombres;2010;23.213,04
Balears, Illes;Todos los sectores;Hombres;2009;23.285,93
Balears, Illes;Todos los sectores;Hombres;2008;22.253,73
Balears, Illes;Industria;Ambos sexos;2022;26.523,26
Balears, Illes;Industria;Ambos sexos;2021;25.105,35
Balears, Illes;Industria;Ambos sexos;2020;24.466,75
Balears, Illes;Industria;Ambos sexos;2019;23.964,08
Balears, Illes;Industria;Ambos sexos;2018;24.374,91
Balears, Illes;Industria;Ambos sexos;2017;23.479,03
Balears, Illes;Industria;Ambos sexos;2016;23.353,73
Balears, Illes;Industria;Ambos sexos;2015;23.081,06
Balears, Illes;Industria;Ambos sexos;2014;24.644,63
Balears, Illes;Industria;Ambos sexos;2013;23.877,82
Balears, Illes;Industria;Ambos sexos;2012;23.816,33
Balears, Illes;Industria;Ambos sexos;2011;23.832,85
Balears, Illes;Industria;Ambos sexos;2010;22.402,19
Balears, Illes;Industria;Ambos sexos;2009;22.761,88
Balears, Illes;Industria;Ambos sexos;2008;21.303,51
Balears, Illes;Industria;Mujeres;2022;-21.527,21
Balears, Illes;Industria;Mujeres;2021;-20.404,27
Balears, Illes;Industria;Mujeres;2020;-19.282,4
Balears, Illes;Industria;Mujeres;2019;-18.973,31
Balears, Illes;Industria;Mujeres;2018;-20.397,9
Balears, Illes;Industria;Mujeres;2017;-18.639,88
Balears, Illes;Industria;Mujeres;2016;-18.062,73
Balears, Illes;Industria;Mujeres;2015;-19.574,53
Balears, Illes;Industria;Mujeres;2014;-20.458,27
Balears, Illes;Industria;Mujeres;2013;-21.185,5
Balears, Illes;Industria;Mujeres;2012;-18.594,37
Balears, Illes;Industria;Mujeres;2011;-17.685,87
Balears, Illes;Industria;Mujeres;2010;-16.257,08
Balears, Illes;Industria;Mujeres;2009;-16.635,23
Balears, Illes;Industria;Mujeres;2008;-16.822,65
Balears, Illes;Industria;Hombres;2022;28.316,2
Balears, Illes;Industria;Hombres;2021;26.912,08
Balears, Illes;Industria;Hombres;2020;26.385,88
Balears, Illes;Industria;Hombres;2019;25.844,24
Balears, Illes;Industria;Hombres;2018;25.694,03
Balears, Illes;Industria;Hombres;2017;25.184,07
Balears, Illes;Industria;Hombres;2016;25.253,72
Balears, Illes;Industria;Hombres;2015;24.355,72
Balears, Illes;Industria;Hombres;2014;26.228,8
Balears, Illes;Industria;Hombres;2013;24.795,39
Balears, Illes;Industria;Hombres;2012;25.753,93
Balears, Illes;Industria;Hombres;2011;25.834,08
Balears, Illes;Industria;Hombres;2010;24.587,41
Balears, Illes;Industria;Hombres;2009;24.809,63
Balears, Illes;Industria;Hombres;2008;22.820,96
Balears, Illes;Construcción;Ambos sexos;2022;-22.962,05
Balears, Illes;Construcción;Ambos sexos;2021;23.359,91
Balears, Illes;Construcción;Ambos sexos;2020;22.819,21
Balears, Illes;Construcción;Ambos sexos;2019;21.202,57
Balears, Illes;Construcción;Ambos sexos;2018;20.715,5
Balears, Illes;Construcción;Ambos sexos;2017;20.555,24
Balears, Illes;Construcción;Ambos sexos;2016;19.221,36
Balears, Illes;Construcción;Ambos sexos;2015;19.243,68
Balears, Illes;Construcción;Ambos sexos;2014;19.838,65
Balears, Illes;Construcción;Ambos sexos;2013;19.587,22
Balears, Illes;Construcción;Ambos sexos;2012;19.812,4
Balears, Illes;Construcción;Ambos sexos;2011;19.713,96
Balears, Illes;Construcción;Ambos sexos;2010;20.437,18
Balears, Illes;Construcción;Ambos sexos;2009;18.809,06
Balears, Illes;Construcción;Ambos sexos;2008;18.683,89
Balears, Illes;Construcción;Mujeres;2022;..
Balears, Illes;Construcción;Mujeres;2021;..
Balears, Illes;Construcción;Mujeres;2020;..
Balears, Illes;Construcción;Mujeres;2019;..
Balears, Illes;Construcción;Mujeres;2018;..
Balears, Illes;Construcción;Mujeres;2017;..
Balears, Illes;Construcción;Mujeres;2016;..
Balears, Illes;Construcción;Mujeres;2015;..
Balears, Illes;Construcción;Mujeres;2014;..
Balears, Illes;Construcción;Mujeres;2013;..
Balears, Illes;Construcción;Mujeres;2012;..
Balears, Illes;Construcción;Mujeres;2011;..
Balears, Illes;Construcción;Mujeres;2010;..
Balears, Illes;Construcción;Mujeres;2009;..
Balears, Illes;Construcción;Mujeres;2008;..
Balears, Illes;Construcción;Hombres;2022;-23.115,54
Balears, Illes;Construcción;Hombres;2021;23.705,04
Balears, Illes;Construcción;Hombres;2020;22.980,12
Balears, Illes;Construcción;Hombres;2019;21.304,53
Balears, Illes;Construcción;Hombres;2018;-21.310,43
Balears, Illes;Construcción;Hombres;2017;20.818,31
Balears, Illes;Construcción;Hombres;2016;-19.838,49
Balears, Illes;Construcción;Hombres;2015;19.577,49
Balears, Illes;Construcción;Hombres;2014;-20.103,83
Balears, Illes;Construcción;Hombres;2013;-19.597,05
Balears, Illes;Construcción;Hombres;2012;19.960,71
Balears, Illes;Construcción;Hombres;2011;-19.619,77
Balears, Illes;Construcción;Hombres;2010;-19.865,08
Balears, Illes;Construcción;Hombres;2009;19.093,93
Balears, Illes;Construcción;Hombres;2008;19.063,98
Balears, Illes;Servicios;Ambos sexos;2022;27.679,2
Balears, Illes;Servicios;Ambos sexos;2021;24.157,49
Balears, Illes;Servicios;Ambos sexos;2020;23.975,42
Balears, Illes;Servicios;Ambos sexos;2019;23.504,81
Balears, Illes;Servicios;Ambos sexos;2018;22.909,95
Balears, Illes;Servicios;Ambos sexos;2017;22.083,15
Balears, Illes;Servicios;Ambos sexos;2016;21.544,21
Balears, Illes;Servicios;Ambos sexos;2015;21.465,08
Balears, Illes;Servicios;Ambos sexos;2014;21.203,15
Balears, Illes;Servicios;Ambos sexos;2013;20.641,05
Balears, Illes;Servicios;Ambos sexos;2012;20.844,08
Balears, Illes;Servicios;Ambos sexos;2011;21.322,23
Balears, Illes;Servicios;Ambos sexos;2010;21.685,89
Balears, Illes;Servicios;Ambos sexos;2009;21.206,89
Balears, Illes;Servicios;Ambos sexos;2008;20.576,39
Balears, Illes;Servicios;Mujeres;2022;26.286,15
Balears, Illes;Servicios;Mujeres;2021;22.443,98
Balears, Illes;Servicios;Mujeres;2020;22.114,72
Balears, Illes;Servicios;Mujeres;2019;21.746,14
Balears, Illes;Servicios;Mujeres;2018;21.216,18
Balears, Illes;Servicios;Mujeres;2017;20.564,98
Balears, Illes;Servicios;Mujeres;2016;19.852,53
Balears, Illes;Servicios;Mujeres;2015;19.565,05
Balears, Illes;Servicios;Mujeres;2014;18.978,47
Balears, Illes;Servicios;Mujeres;2013;18.911,39
Balears, Illes;Servicios;Mujeres;2012;19.040,89
Balears, Illes;Servicios;Mujeres;2011;19.410,98
Balears, Illes;Servicios;Mujeres;2010;19.829,22
Balears, Illes;Servicios;Mujeres;2009;18.839,93
Balears, Illes;Servicios;Mujeres;2008;18.293,47
Balears, Illes;Servicios;Hombres;2022;29.335,18
Balears, Illes;Servicios;Hombres;2021;26.271,06
Balears, Illes;Servicios;Hombres;2020;26.334,34
Balears, Illes;Servicios;Hombres;2019;25.557,16
Balears, Illes;Servicios;Hombres;2018;24.896,08
Balears, Illes;Servicios;Hombres;2017;23.862,91
Balears, Illes;Servicios;Hombres;2016;23.655,98
Balears, Illes;Servicios;Hombres;2015;23.986,84
Balears, Illes;Servicios;Hombres;2014;24.054,02
Balears, Illes;Servicios;Hombres;2013;22.812,34
Balears, Illes;Servicios;Hombres;2012;23.006,1
Balears, Illes;Servicios;Hombres;2011;23.463,77
Balears, Illes;Servicios;Hombres;2010;23.759,16
Balears, Illes;Servicios;Hombres;2009;24.090,1
Balears, Illes;Servicios;Hombres;2008;23.089,37
Canarias;Todos los sectores;Ambos sexos;2022;23.096,92
Canarias;Todos los sectores;Ambos sexos;2021;22.466,23
Canarias;Todos los sectores;Ambos sexos;2020;21.631,17
Canarias;Todos los sectores;Ambos sexos;2019;20.861,14
Canarias;Todos los sectores;Ambos sexos;2018;20.763,48
Canarias;Todos los sectores;Ambos sexos;2017;20.185,33
Canarias;Todos los sectores;Ambos sexos;2016;19.749,03
Canarias;Todos los sectores;Ambos sexos;2015;19.856,61
Canarias;Todos los sectores;Ambos sexos;2014;19.436,48
Canarias;Todos los sectores;Ambos sexos;2013;19.167,93
Canarias;Todos los sectores;Ambos sexos;2012;19.277,62
Canarias;Todos los sectores;Ambos sexos;2011;19.516,96
Canarias;Todos los sectores;Ambos sexos;2010;19.315,56
Canarias;Todos los sectores;Ambos sexos;2009;18.926,36
Canarias;Todos los sectores;Ambos sexos;2008;18.466,99
Canarias;Todos los sectores;Mujeres;2022;22.574,98
Canarias;Todos los sectores;Mujeres;2021;21.178,57
Canarias;Todos los sectores;Mujeres;2020;20.461,63
Canarias;Todos los sectores;Mujeres;2019;19.540,82
Canarias;Todos los sectores;Mujeres;2018;19.051,01
Canarias;Todos los sectores;Mujeres;2017;18.917,73
Canarias;Todos los sectores;Mujeres;2016;18.211,44
Canarias;Todos los sectores;Mujeres;2015;18.279,76
Canarias;Todos los sectores;Mujeres;2014;18.201,48
Canarias;Todos los sectores;Mujeres;2013;17.619,86
Canarias;Todos los sectores;Mujeres;2012;17.498,71
Canarias;Todos los sectores;Mujeres;2011;17.824,94
Canarias;Todos los sectores;Mujeres;2010;17.601,79
Canarias;Todos los sectores;Mujeres;2009;17.528,33
Canarias;Todos los sectores;Mujeres;2008;17.131,85
Canarias;Todos los sectores;Hombres;2022;23.588,7
Canarias;Todos los sectores;Hombres;2021;23.619,76
Canarias;Todos los sectores;Hombres;2020;22.697,51
Canarias;Todos los sectores;Hombres;2019;22.082,69
Canarias;Todos los sectores;Hombres;2018;22.333,63
Canarias;Todos los sectores;Hombres;2017;21.291,66
Canarias;Todos los sectores;Hombres;2016;21.149,44
Canarias;Todos los sectores;Hombres;2015;21.336,72
Canarias;Todos los sectores;Hombres;2014;20.641,49
Canarias;Todos los sectores;Hombres;2013;20.678,43
Canarias;Todos los sectores;Hombres;2012;21.089,85
Canarias;Todos los sectores;Hombres;2011;21.090,86
Canarias;Todos los sectores;Hombres;2010;20.986,94
Canarias;Todos los sectores;Hombres;2009;20.109,24
Canarias;Todos los sectores;Hombres;2008;19.516,93
Canarias;Industria;Ambos sexos;2022;24.743,13
Canarias;Industria;Ambos sexos;2021;23.868,84
Canarias;Industria;Ambos sexos;2020;23.131,85
Canarias;Industria;Ambos sexos;2019;23.181,01
Canarias;Industria;Ambos sexos;2018;23.026,73
Canarias;Industria;Ambos sexos;2017;22.359,52
Canarias;Industria;Ambos sexos;2016;22.351,09
Canarias;Industria;Ambos sexos;2015;23.144,68
Canarias;Industria;Ambos sexos;2014;22.820,46
Canarias;Industria;Ambos sexos;2013;22.965,78
Canarias;Industria;Ambos sexos;2012;22.596,44
Canarias;Industria;Ambos sexos;2011;22.858,34
Canarias;Industria;Ambos sexos;2010;21.910,37
Canarias;Industria;Ambos sexos;2009;20.726,1
Canarias;Industria;Ambos sexos;2008;19.998,94
Canarias;Industria;Mujeres;2022;-22.118,58
Canarias;Industria;Mujeres;2021;-19.906,47
Canarias;Industria;Mujeres;2020;-18.952,86
Canarias;Industria;Mujeres;2019;-19.268,95
Canarias;Industria;Mujeres;2018;-19.014,5
Canarias;Industria;Mujeres;2017;-17.899,82
Canarias;Industria;Mujeres;2016;-19.054,38
Canarias;Industria;Mujeres;2015;-18.417,81
Canarias;Industria;Mujeres;2014;-20.042,57
Canarias;Industria;Mujeres;2013;-18.739,3
Canarias;Industria;Mujeres;2012;-17.803,34
Canarias;Industria;Mujeres;2011;-17.033,68
Canarias;Industria;Mujeres;2010;-17.600,79
Canarias;Industria;Mujeres;2009;-17.488,41
Canarias;Industria;Mujeres;2008;-15.976,19
Canarias;Industria;Hombres;2022;25.512,66
Canarias;Industria;Hombres;2021;24.961,72
Canarias;Industria;Hombres;2020;24.274,7
Canarias;Industria;Hombres;2019;24.260,53
Canarias;Industria;Hombres;2018;24.267,95
Canarias;Industria;Hombres;2017;23.666,81
Canarias;Industria;Hombres;2016;23.286,7
Canarias;Industria;Hombres;2015;24.580,21
Canarias;Industria;Hombres;2014;23.536,83
Canarias;Industria;Hombres;2013;24.132,41
Canarias;Industria;Hombres;2012;23.977,57
Canarias;Industria;Hombres;2011;24.593,08
Canarias;Industria;Hombres;2010;23.032,51
Canarias;Industria;Hombres;2009;21.545,51
Canarias;Industria;Hombres;2008;20.977,82
Canarias;Construcción;Ambos sexos;2022;-19.981,25
Canarias;Construcción;Ambos sexos;2021;19.936,53
Canarias;Construcción;Ambos sexos;2020;19.203,18
Canarias;Construcción;Ambos sexos;2019;19.437,47
Canarias;Construcción;Ambos sexos;2018;19.162,98
Canarias;Construcción;Ambos sexos;2017;19.542,67
Canarias;Construcción;Ambos sexos;2016;19.446,81
Canarias;Construcción;Ambos sexos;2015;19.889,42
Canarias;Construcción;Ambos sexos;2014;18.797,75
Canarias;Construcción;Ambos sexos;2013;18.836,98
Canarias;Construcción;Ambos sexos;2012;18.516,3
Canarias;Construcción;Ambos sexos;2011;18.620,82
Canarias;Construcción;Ambos sexos;2010;18.708,77
Canarias;Construcción;Ambos sexos;2009;17.906,69
Canarias;Construcción;Ambos sexos;2008;17.094,02
